 @grishin памагитиии!	 помог
 этот файл тут не используется, в ветке с биллингом он полностью переписан	 если файл не используется, то удаляем его
 если файл не используется, то удаляем его	 его нельзя удалять ибо потом будут конфликты с веткой билинга
 его нельзя удалять ибо потом будут конфликты с веткой билинга	 тогда фиксим первоначальное замечание, иначе этот код останется на не определённое количество времени и все будут писать также, говоря "ну вот же также написано".
 этот файл тут не используется, в ветке с биллингом он полностью переписан	 если файл не используется, то удаляем его
 если файл не используется, то удаляем его	 его нельзя удалять ибо потом будут конфликты с веткой билинга
 его нельзя удалять ибо потом будут конфликты с веткой билинга	 тогда фиксим первоначальное замечание, иначе этот код останется на не определённое количество времени и все будут писать также, говоря "ну вот же также написано".
 не больше чем остальные панели рядом лежащие	 можешь и их за компанию разбить на модули. новый код пишем адекватно
 и по хорошему проверить — проходит ли этот код через бабель. и если да, то использовать стрелочные функции.	 да, тут есть бабель, но может так быть, что нет babel-polyfill. поэтому все синтаксические фичи мы используем практически в обязательном порядке, а вот async/await'ы - нет. к сущностям из es6+ типа symbol, map, set и т.д. пока что тоже относимся с опаской, проверяем на поддержку браузерами (если должно работать на опубликованном сайте). через некоторое время планируем порефакторить систему сборки gulp'ом, постараемся и все es6 фичи донести.а вообще если вам здесь нужен <code>, то вполне можно сделать:<code>
 да, тут есть бабель, но может так быть, что нет babel-polyfill. поэтому все синтаксические фичи мы используем практически в обязательном порядке, а вот async/await'ы - нет. к сущностям из es6+ типа symbol, map, set и т.д. пока что тоже относимся с опаской, проверяем на поддержку браузерами (если должно работать на опубликованном сайте). через некоторое время планируем порефакторить систему сборки gulp'ом, постараемся и все es6 фичи донести.а вообще если вам здесь нужен <code>, то вполне можно сделать:<code>	 так сделано во всех vue файлах, переписывать не вариант, пусть остается
 тех. долг	 нет это невозможно в техдолг, костя же написал, что не будет работать.
 нет это невозможно в техдолг, костя же написал, что не будет работать.	 не будет работать после обновления mongoose, у нас пока старый. в рамках задачи обновления монгуса на юлендинг мы поправим и эти места
 а где?	 есть похожие в моделе experiment. тех. долг.
 в нашем дашборде нет <code>	 тогда у вас должна быть своя система хранения конфигов, глобальные переменные выпиливаем
 этот скрипт используется ещё и в нашем дашборде, где нет u.params	 подключайте <code> или настраивайте свою единую точку настроек
 аналогично с предыдущими, в нашем дашборде нет u.params	 если у вас нет <code>
 если в данном случае не всегда есть <code>, то значит этот скрипт грузится раньше загрузки текущей страницы конструктора. можно подписаться на триггер загрузки страницы.	 этот скрипт используется ещё и в нашем дашборде, где нет u.params
 этот скрипт используется ещё и в нашем дашборде, где нет u.params	 так подключи его, если его нет
 так написано во всех файлах с vue, уже поздно менять, пусть остается	 > уже поздно менять, пусть остаетсяну такое себе...
 просто убираю ранее добавленные стили, что тут не так?	 объедини в одну операцию
 для великого и могучего ie	 на каких версиях ie тестировалось?
 аналогично, добавил для ie.. deprecated только на мобильной мозилле?	 <link>
 сделано это было специально, чтобы при увеличении картинки отключить любой скролл на фоне. слайдер работает только на спец. страницах и я не помню чтобы что-то ломалось.	 а кто будет возвращать чужие обработчики после уменьшения картинки?они просто потеряны.
 слайдер используется в дашборде fb2ukit и странице faq ulanding, и ничего не ломает.	 по правилам хорошего тона нельзя просто перетирать чужие обработчики, свои надо рядом вешать. если явно никто не использует эти события, то их может использовать какая-то библиотека. или кто-то другой может повесить обработчики позже.
 @grishin ❗️	 и в сайте тоже самое было. и возможно есть
 и в сайте тоже самое было. и возможно есть	 сделано по аналогии с сайтом
 что именно	 описал в другой дискусси конкретно.так и не понял зачем нужно проверять что это обьект <code> и еше ошибку выдать пользователю
 описал в другой дискусси конкретно.так и не понял зачем нужно проверять что это обьект <code> и еше ошибку выдать пользователю	 техдолг
 инвертировать условие	 ok
 ok	 ok
 это часть динамического текста, думаю нет.	 убрал
 <code> вынесу в if	 убрал под юлендинг
 тут только связывание проекта и лендинга с сайтом. дебажить тут нечего	 в этом есть острая необходимость
 не понимаю, тут же error.message создается	 да, создаются, но удобнее искать по филдам обьекта чем грепать по тексту
 да, создаются, но удобнее искать по филдам обьекта чем грепать по тексту	 <link>
 бля)	 здесь id используется для именования файла ордерформ. в данном случ. создается файл с json-формой
 )))	 даже не знаю как так могло получится)
 <code>ты про это?	 нет про<code>
 нет про<code>	 немного поправил синтаксис. но в будущем переработаем, есть определенная неясность
 кэш статистики	 больше подчеркиваний блядь!😐
 не, это проверка на то что это инстанс момента	 а для чего?
 а для чего?	 там используется format, в дефолтной дате он иначе реализован
 писали не мы, ну мб это из-за того, что _id превращается в строку	 почему он должен превращаться в строку?
 почему он должен превращаться в строку?	 objectid.valueof
 objectid.valueof	 <code> - этого должно хватить. если там строка - то это отдельный пиздец из той серии (1 уже нашел)
 <code> - этого должно хватить. если там строка - то это отдельный пиздец из той серии (1 уже нашел)	 opts.promocode._id - это строка, которая приходит с клиента, так как промокодом является id в базе
 пиши плиз строчку, не понятно что не нужно	 сохранять контест <code>
 сохранять контест <code>	 мне кажется, для ясности лучше оставить
 из-за проекта, который извлекается выше	 <code>
 <code>	 ok
 да, она передается через жёпу, поправим как фронт будем переписывать, пока пусть так будет	 т.е. норм что <code>?оно сразу на клиент летит из модельного метода?)
 т.е. норм что <code>?оно сразу на клиент летит из модельного метода?)	 да и да. про необходимость переноса логики роутера я тебе уже говорил. требуется более крупный рефакторинг, логика слишком сильно и часто менялась. после релиза мы будем решать , как убирать подобные костыли. а пока пусть так.
 тут из-за ватрфола будет дич, если передать просто cb	 почему? не должно быть дичи
 да это жестко	 переделал
 i18n	 удалил метод
 этот вывод читаемой ошибки на клиент	 я все понимаю, только это модельный метод
 я все понимаю, только это модельный метод	 этот статик метод и похожие на него являются контроллерами. сделано это для того, что бы можно было без копи-паст генерить initialstate и перезапрашивать при помощи ajax запроса. т.е он используется в двух разных роутах
 этот статик метод и похожие на него являются контроллерами. сделано это для того, что бы можно было без копи-паст генерить initialstate и перезапрашивать при помощи ajax запроса. т.е он используется в двух разных роутах	 это даже не статик метод
 это даже не статик метод	 ок, не посмотрел. так а как бы ты сделал?
 ок, не посмотрел. так а как бы ты сделал?	 а бля я не туда смотрел
 а бля я не туда смотрел	 короч порефакторил, эту хуйню удалил
 <code>ты про то что это можно в аргументы сразу передать?	 да и <code>
 да, только код писался под ноду 4, уверен, там еще будет много такого кода	 ну в тех долг тогда
 да, но явно потом, высок риск сломать, а тестить некогда	 техдолг
 это геттер, насколько я помню.	 а, не, пардон, объебался))0)
 а, не, пардон, объебался))0)	 по ощущениям код скопировали из схемы сайта, только забыли добавить в схему
 по ощущениям код скопировали из схемы сайта, только забыли добавить в схему	 да, можно удалить
 да, можно удалить	 метод кем-то добавлен, но он не нужен, так домены цепляются к проекту. удалил
 да, такое либо в массив, либо в объект завернуть надо.	 наш техдолг, пока так
 и даже если это не будет сделано геттером, почему это называется не <code>?	 удалил метод, он не нужен
 нужно обязательно	 но позже) после релиза)
 заменить на обычный <code>	 поправил
 поправил	 поправил
 @kbubyakin ты про какую строчку? вижу что логи не удалили, и переделать e.log.error на cb(err)	 поправил
 fields - объектможно через object.keys().reduce, но через lodash минималистичнее)	 за то использьзуем стандартные возможности языка
 за то использьзуем стандартные возможности языка	 это уже субъективно, я закрою?
 это уже субъективно, я закрою?	 ну такое себе, на самом то деле. ладно, это в принципе ваш модуль, вам его и поддерживать, но в общем ukit'овском коде такого впредь не допускать.
 уже должен, вообще удалить это надо	 удалил файл
 а что, собственно, не так? была одна переменная, теперь их много	 ну можно гораздо проще сделать. слишком сложно
 ну можно гораздо проще сделать. слишком сложно	 например?
 да, в этом и идея)	 в смысле в этом идея? приходит пустая строка <code>
 в смысле в этом идея? приходит пустая строка <code>	 пустая строка не приходит, такая последовательность из-за parseint('23aasdsa') -> 23, но окей, я добавлю проверку "не пустая строка"
 пустая строка не приходит, такая последовательность из-за parseint('23aasdsa') -> 23, но окей, я добавлю проверку "не пустая строка"	 да и эти if'ы - полная фигня. нужно подцепить валидационные схемы на роутере (joi или ajv)
 ну дык в этом и смысл)	 <code>
 <code>	 parseint('23aasdsa') -> 23, добавлю проверку на пустую строку
 <code>почему же?	 <code> же
 <code> же	 а тю) оке
 форматнуть нормально имеешь в виду?	 да
 дык в юките аналогично)	 но нужно поправить
 но нужно поправить	 ну это не значит, что правильно)
 макс еще в 2017 году добавил<link>	 так это ж не оно. я помню это я писал. и оно было в стейбле
 так это ж не оно. я помню это я писал. и оно было в стейбле	 так что делать?) у меня кроме блейма нет инфы) ты это давно делал?
 так что делать?) у меня кроме блейма нет инфы) ты это давно делал?	 потому что оно задвоилось. посмотри в этом файле этот метод
 @aderb @akudinov ?	 в будущем поправим. пока так.
 да писал же выше, нода была 4 версии.. какие еще includes	 ну была, теперь вот сплыла... и вообще, в nodejs v4 уже был string.prototype.includes
 ну была, теперь вот сплыла... и вообще, в nodejs v4 уже был string.prototype.includes	 в string'е был, ок
 напомни, что тут? не ломаем ли мы цели в юките?	 да, но похоже что не ломаете
 да, но похоже что не ломаете	 так оставим?
 @akudinov @aderb посмотрите	 просто паралакс делали мы давненько, и это было в стейбл. возможно при мерже че-то не так произошло
 просто паралакс делали мы давненько, и это было в стейбл. возможно при мерже че-то не так произошло	 да, вероятно уже не нужно, убрал
 и коменты надо удалять)	 может и не быть, но там async.each. комменты удалю
 забыли <code> наверно	 он подключается в uland.js
 @nardyuzhev так на этом уровне уже нет <code>	 @kbubyakin а, точнякне досмотрел
 @kbubyakin а, точнякне досмотрел	 а стоило бы
 что то подобное есть в lib/h addmediaattributeheader ?	 да, как раз из-за этого и надо удалить)
 в юките есть такой же метод, нужен для определения req.o.* при переходе с польз. сайтов (и не только)	 так если там одно условие, нужно ли <code>?
 так если там одно условие, нужно ли <code>?	 аа, увидел, да там убрали строчку<code>надо убрать or
 согласен.но позволь заметить, что там уже до меня было насрато, и переменная эта уже удобно лежит в res.locals, тут:/views/partials/mainpage/jsdef.html![image]<link>так что почему конкретно мне конкретно сейчас нельзя -- я не понимают.е., или убирать оттуда всё, или не докапываться до такой херни, т.к. на обсуждение этой недо-задачи времени потрачено уже больше, чем на её производствопри этом, заметь, я не говорю, что мне это нравится.и, я в курсе, что ты не знаешь, но я давно это наблюдаю и всем похеру.когда я только сюда пришёл в 2014 году, я пытался им объяснять, что это плохо, и так делать нельзя, меня нахер послали, и не раз, мотивируя тем, что "сейчас не до того".поэтому в конце-концов я устал это объяснять.а теперь ты тут такой "умный и красивый" решил, что внезапно! так делать нельзя и всё такое. в общем, найди себе того кто это придумал.и, да git blame views/partials/mainpage/jsdef.html -- это ложь, т.к. да, я создал этот файл в процессе рефакторинга того говнокода, который уже был.	 если до нас был написан не лучшего качество код, то мы не должны продолжать делать также. все настройки конфигурации у нас лежат в <code> и в соседних файлах активно эта схема используются.глобальные переменные очень трудно дебажить и из-за них возникает куча неприятных ситуаций.  часто случается дублирование одной и той же настройки конфигурации и потеря консистентности. очень много раз мы на это натыкались и тратили кучу времени на переделку кода.не только к тебе такого рода замечания, можешь спросить у макса я., серёги б. или славы а. если где-то подобный код и просочился, то значит он очень старый или я не доглядел.
 если до нас был написан не лучшего качество код, то мы не должны продолжать делать также. все настройки конфигурации у нас лежат в <code> и в соседних файлах активно эта схема используются.глобальные переменные очень трудно дебажить и из-за них возникает куча неприятных ситуаций.  часто случается дублирование одной и той же настройки конфигурации и потеря консистентности. очень много раз мы на это натыкались и тратили кучу времени на переделку кода.не только к тебе такого рода замечания, можешь спросить у макса я., серёги б. или славы а. если где-то подобный код и просочился, то значит он очень старый или я не доглядел.	 ok ok, no problem
 ok ok, no problem	 чинено
 я в этом не понимаю, просто копипаста отсюда<link>	 ну хрен с ним тогда, пусть так остаётся. google заботится о девятом ослике.
 неттогда придйтся писать ещё проверку, что errorcodes есть!	 у тебя деструктуризатор ругнется ошибкой если нет поля
 у тебя деструктуризатор ругнется ошибкой если нет поля	 и провалится к кетч
 и провалится к кетч	 или нет)
 или нет)	 <code> - такое только destructure property 🎉
 <code> - такое только destructure property 🎉	 ооой, ну тогда так<code>
 ооой, ну тогда так<code>	 главное максу не показывайте 😂
 главное максу не показывайте 😂	 причем она падает таки с ошибкой, если не найдет 'data'<code>
 причем она падает таки с ошибкой, если не найдет 'data'<code>	 оаоаоатам же трайкеч твой
 оаоаоатам же трайкеч твой	 так и че ты закрыл?
 так и че ты закрыл?	 а почему нет то?если там трайкеч, то зачем там что-то ещё?
 а почему нет то?если там трайкеч, то зачем там что-то ещё?	 ну так решили же сделать так<code>
 ну так решили же сделать так<code>	 кто решил?вы меня не убедили, т.к. там эта проверка на .length будет неверной!поэтому лучше e._.isfullarray, он для того и запилен !
 кто решил?вы меня не убедили, т.к. там эта проверка на .length будет неверной!поэтому лучше e._.isfullarray, он для того и запилен !	 чем не убедили, дефолтным [] или чем?)
 чем не убедили, дефолтным [] или чем?)	 c 4х утра не сплю, думаю об этой херне.засыпал тоже с мыслями об этом!это вообще нормально так докапываться до таких мелочей?
 c 4х утра не сплю, думаю об этой херне.засыпал тоже с мыслями об этом!это вообще нормально так докапываться до таких мелочей?	 да я сам до 4-х думал 🙆‍♂️😂
 да я сам до 4-х думал 🙆‍♂️😂	 кхм... витя, а если в errorcodes прийдёт строка, то логировать мы ошибку не будем? в чём смысл этой проверки? зачем ты там хочешь видеть именно массив? это ж javascript, пусть летит куда летело)если ты знаешь, что приоритет этой задачи мега высок (задачи от 24-ого мая то), то можно выписать техдолг. техдолг сразу кладётся в этот/следующий спринт твоей команды с описанными пунктами рефакторинга. после этого задача льётся в бой, а потом ты исправляешь мелкие косяки, описанные в техдолге. таким образом ты получаешь замечательную итеративную поставку в спокойном режиме. а вообще ты можешь не волноваться и вносить правки, задача до сих пор <code> (или вы не тестируете до review done? oo).
 кхм... витя, а если в errorcodes прийдёт строка, то логировать мы ошибку не будем? в чём смысл этой проверки? зачем ты там хочешь видеть именно массив? это ж javascript, пусть летит куда летело)если ты знаешь, что приоритет этой задачи мега высок (задачи от 24-ого мая то), то можно выписать техдолг. техдолг сразу кладётся в этот/следующий спринт твоей команды с описанными пунктами рефакторинга. после этого задача льётся в бой, а потом ты исправляешь мелкие косяки, описанные в техдолге. таким образом ты получаешь замечательную итеративную поставку в спокойном режиме. а вообще ты можешь не волноваться и вносить правки, задача до сих пор <code> (или вы не тестируете до review done? oo).	 ну вот, только переехал в питер, и уже опылилсянормально всё, порешали ужееё приоритет не высок:![image]<link>
 нет, потому, что может быть true	 а откуда true и что это значит?
 а откуда true и что это значит?	 защита от кулхацкера, который пришлёт true посмотрев формат post
 защита от кулхацкера, который пришлёт true посмотрев формат post	 ой господи, типа экономим запросы в рекапчи? так он отправит <code> и че? и не пройдет проверку... по факту лишние проверки, которые потом вызовут у людей непонимание работы или мнимые требования к методу...ну ок (с)
 упростить -- ок.	 <code> вот так даже)
 <code> вот так даже)	 @grishin <code> забыл
 @grishin <code> забыл	 дада, забыл, спасибо 😊
 параметры нужно в qs передать, а не в body, я на это 2 часа убил.<link>	 ![image]<link>с чего бы это
 @voodee потому что там есть дефолты	 @craneandrey это же пропс от декоратора, он всегда будет
 @craneandrey это же пропс от декоратора, он всегда будет	 @slavikhard
 что за файлы:<code>	 починить линты
 починить линты	 @slavikhard
 до выливки. когда все будет готово. тем более что на переводы отдельную ветку отдать нельзя.	 @craneandrey  @voodee как раз таки отдельную ветку отдать можно)в течение дня отправлю на перевод
 @craneandrey  @voodee как раз таки отдельную ветку отдать можно)в течение дня отправлю на перевод	 @nardyuzhev ты отправил?
 ни в душе, ни в душе. взято с оригинального виджета.	 нужно узнать
 нужно узнать	 вынес в задачу ukit-8433
 и вообще в этом виджете не должно быть сигналов, он же полностью на реакте.	 вынес в задачу ukit-8433
 @raubtier	 вынесли в отдельную задачу ukit-8202
 @evisloukhov	 вынесено в отдельную задачу
 почему 400?	 перенес стили в css. 400 потому что у левой панели стоит 350, и если не прописывать, при драге не видно плашку, за которую тянешь. сделал 351, чтоб поменьше было. возможно, необходимость в этом отпадет, когда заменим лист.
 нельзя так у нас делать	 @voodee null пойдет? или лучше линтер задисейблить и onkeydown вообще убрать? ему не нравится, что на див навесили клик и требует туда же вешать keydown, чтобы люди, у которых нет мышек, тоже могли покликать наш лист айтем.
 тяжестью селектора перебить не получилось. их собственные селекторы имеют больший вес.	 а если постараться?
 а если постараться?	 @evisloukhov
 @evisloukhov	 убрал все important'ы кроме двух. они прописаны у этих умников, поэтому нам только своими их перебивать.
 @voodee и что делать? я не в курсах, как у вас делается	 закешируй как-нибудь, например, через селектор
 закешируй как-нибудь, например, через селектор	 @voodee так там целый объект. как его кешировать? пример в проекте есть?
 @voodee так там целый объект. как его кешировать? пример в проекте есть?	 @craneandrey да, есть.простой пример, с одним ключом: <link>
 <code> - для енвов норм. для свойств - плохо, согласен	 <code> - но так, норм)
 <code> - но так, норм)	 ну такое, лучше уж <code>
 ну такое, лучше уж <code>	 почему-то везде выше всё, что приходит из env так и остаётся большимиulight_portconfig_file_nameя против их переименовывать, т.к.:1. их так проще грепать, т.к. имя не изменится2. везде по остальному коду понятно, что это дерьмо из env3. точно не "прое" что это какая-то важная мутотень
 почему-то везде выше всё, что приходит из env так и остаётся большимиulight_portconfig_file_nameя против их переименовывать, т.к.:1. их так проще грепать, т.к. имя не изменится2. везде по остальному коду понятно, что это дерьмо из env3. точно не "прое" что это какая-то важная мутотень	 витя, ты должен прочитать из <code> свойств капсом. и не будет)![image]<link>
 витя, ты должен прочитать из <code> свойств капсом. и не будет)![image]<link>	 ok
 ok	 поправил
 @voodee	 @kbubyakin не хочу я его удалять, не знаю что это за параметр
 @kbubyakin не хочу я его удалять, не знаю что это за параметр	 он там валяется с тех пор, когда первый раз левшин пробовал sentry внедрить. предлагаю ничего не делать и удалить в рамках задачи по чистке конфигов.
 кстати, такой момент, если мы поле url оставим пустым, у нас просто трэкинг не заработает или какой-нибудь код начнёт падать? есть желание это попробовать протестить и пока что вырубить трэкинг ошибок старого кода. @voodee @pirogov @gurova	 теоретически, просто перестанет работать. но нужно тестировать. @gurova
 дада, сделаю 👍	 @glebazarov забрось ты плиз в /conf.js![image]<link>
 @glebazarov забрось ты плиз в /conf.js![image]<link>	 rctasks.join(', ') так же будет норм в sentry? ну или последний берите rc
 rctasks.join(', ') так же будет норм в sentry? ну или последний берите rc	 ну или rctasks в теги sentry
 ну или rctasks в теги sentry	 <link>
 вот нахуя мне в этом мерже скриншотилка?@glebazarov прикручивай <code> файл не менялся без необходимости. или я его в игнор заношу	 не надо в игнор!
 не надо в игнор!	 страдай! шучу)))
 страдай! шучу)))	 а почему нет? чем тебе жизнь портят изменённые lock файлы?
 а почему нет? чем тебе жизнь портят изменённые lock файлы?	 зачем в мёрже висят файлы, которые не затрагивались?@glebazarov почему бы не добавить какой-нибудь флаг в хук <code>?
 зачем в мёрже висят файлы, которые не затрагивались?@glebazarov почему бы не добавить какой-нибудь флаг в хук <code>?	 ладно, окей, можем добавить <code>)
 когда(если) захотят, тогда и переделаем	 не, ребят, это слишком. даже без надлежащих таким хакам комментариев. давайте либо геттер сделаем (который вычистит html из поля title), либо заменим boolean на string и сделаем нормальный enum.
 не, ребят, это слишком. даже без надлежащих таким хакам комментариев. давайте либо геттер сделаем (который вычистит html из поля title), либо заменим boolean на string и сделаем нормальный enum.	 и вообще, что-то мне подсказывает, что мы как-то не так чиним эту багу:<link>
 и вообще, что-то мне подсказывает, что мы как-то не так чиним эту багу:<link>	 там внутри <code>, потом уже идёт h3. конечно, мб это приколы браузера... @voodee что думаешь?
 там внутри <code>, потом уже идёт h3. конечно, мб это приколы браузера... @voodee что думаешь?	 сколько ж можно мусолить эту задачу
 сколько ж можно мусолить эту задачу	 @glebazarov это могут быть приколы визи. а на опубликованном также?
 @glebazarov это могут быть приколы визи. а на опубликованном также?	 бля, ну по хорошему нужно делать enum сразу на случай креатива продукт овнеров. больше склоняюсь к нему на стороне сервера. на фронте можно оставит переключатель булевый."когда(если) захотят, тогда и переделаем" - не вариант будет вообще, если вдруг моча ударит в голову добавить другой тег.
 бля, ну по хорошему нужно делать enum сразу на случай креатива продукт овнеров. больше склоняюсь к нему на стороне сервера. на фронте можно оставит переключатель булевый."когда(если) захотят, тогда и переделаем" - не вариант будет вообще, если вдруг моча ударит в голову добавить другой тег.	 хер его знает. опять переделал, надеюсь, что в этот раз норм.
 @glebazarov задача начинает тухнуть	 да оно давно протухло) потом оживлю
 up!	 >починил продление на lpt, но сломал продажибыло сломано 2 неделипочинилза это время была 1 продажа — пох
 ок сделаю	 но я бы там чуть по-другому развернул логирование, тк там дублирование есть - в v2
 нет	 что нет?)) ты просто все параметры отправляешь в базовый конструктор. это равноценно, что его вообще здесь не обьявлять
 что нет?)) ты просто все параметры отправляешь в базовый конструктор. это равноценно, что его вообще здесь не обьявлять	 нет, не ругает. ps ну какую-то логику хотел вселить, потом забыл. удалю, достали
 нет, не ругает. ps ну какую-то логику хотел вселить, потом забыл. удалю, достали	 готово
 в <code> надо вообще вынести эти условия в реализацию абстрактного метода "применимости" acceptrctostable.available() - вот он как раз и должен true/false возвращать, ну или надо подумать еще	 я к тому, что тут либо исключение выбросится либо ничего не должно быть возвращено.
 я к тому, что тут либо исключение выбросится либо ничего не должно быть возвращено.	 да да в v2, #неори
 можно, но это проеб	 добавил
 потому что шапка нужна, тут вынос - запутает логику еще больше - ну его нафиг	 так ты шапку походу проебал из-за копипасты😅
 так ты шапку походу проебал из-за копипасты😅	 может, уберу тесты ходят
 может, уберу тесты ходят	 сделал, тесты проходят
 тесты написаны, хочешь проверить - перепиши и запусти. скорее всего не пройдут ;)	 так тесты тестами, а вообще же не бывает такого: <code>
 так тесты тестами, а вообще же не бывает такого: <code>	 аа, не понял твоего вопроса, ну фиг не должно, могу ужесточить требование <code>
 аа, не понял твоего вопроса, ну фиг не должно, могу ужесточить требование <code>	 сделал, тесты проходят
 в маппер только, сделаем	 выше, v2
 может) спред точно нельзя ;)	 <code>
 <code>	 - [x] object.assign
 я написал <code>. ничего лучше этого решения не придумал(	 @glebazarov @voodee что тут?
 @glebazarov @voodee что тут?	 так как идей лучше нет, то резолвлю
 уверен, что api всегда вернёт 200, а не какой-нибудь 201 или 204?	 нет, но и фиг с ним если не 200) первый подход
 нет, но и фиг с ним если не 200) первый подход	 <code> внедрим не переживай. new упс, надо проверить везде
 <code> внедрим не переживай. new упс, надо проверить везде	 хроническая проблема, записал в тех долг
 и вообще ты тут меняешь на лету интерфейс объекта 😤	 деструкцию выше в конструктор <code> - это нужно вынести в отдельный маппер или аннотацией в jiraissue - сделано так чтобы знание не размазывалось по сущностям и легко потом вынести его
 деструкцию выше в конструктор <code> - это нужно вынести в отдельный маппер или аннотацией в jiraissue - сделано так чтобы знание не размазывалось по сущностям и легко потом вынести его	 >и вообще ты тут меняешь на лету интерфейс объекта :triumph: это же js - сами меня научили, первое правило js никаких тебе интерфейсов, только ад, только хардкор 😂🔥
